id;title;description;due_date;date;status;type;priority
1;out-of-the-box Grocery SMTP;bus;2023-04-24;2023-04-24T12:31:07;IN_PROGRESS;FEATURE;HIGH
2;Afghanistan Utah Quality;Licensed;2023-04-24;2023-04-23T23:53:44;WONT_IMPLEMENT;FEATURE;LOW
3;executive;Connecticut modular;2023-04-23;2023-04-24T05:39:47;OPEN;BUG;LOWER
4;B2C Legacy;Lane Chair Music;2023-04-24;2023-04-24T10:23:44;DUPLICATE;BUG;LOW
5;enable Incredible;Outdoors Fantastic Crest;2023-04-24;2023-04-23T22:37:52;OPEN;FEATURE;NORMAL
6;deposit Cotton Compatible;matrix Balanced Small;2023-04-23;2023-04-23T17:38:06;OPEN;FEATURE;LOW
7;Bike;generate systems Dollar;2023-04-24;2023-04-24T08:40:46;CLOSED;FEATURE;LOWER
8;Innovative utilize Kids;networks Customer;2023-04-24;2023-04-24T09:24:04;DUPLICATE;BUG;LOWERST
9;Rustic attitude-oriented;Data Beauty;2023-04-24;2023-04-24T11:38:06;VERIFIED;FEATURE;HIGHER
10;neural Licensed Refined;payment Steel Human;2023-04-24;2023-04-23T17:18:04;WAITING_FOR_RESPONSE;BUG;HIGH
